Namespace(alpha=0.95, alpha_vr=0.85, architecture='700-500-300-250', batch_size=128, data_set='Smile', epochs=10000, gamma=1.15, l_rate=0.001, log_file='logs/smile_adam_alpha.csv', seed=193012823, thr=1.0, w_scale=1.5)
Epoch 375 991.2651 1.0000 1.0000
Epoch 376 965.5456 1.0000 1.0000
Epoch 377 990.5343 1.0000 1.0000
Epoch 378 963.0341 1.0000 1.0000
Epoch 379 982.6246 1.0000 1.0000
Epoch 380 984.3917 0.0000 0.0000
Epoch 381 957.3808 1.0000 1.0000
Epoch 382 968.5839 1.0000 1.0000
Epoch 383 930.8920 0.0000 0.0000
Epoch 384 977.3587 0.0000 0.0000
Epoch 385 970.1215 0.0000 0.0000
Epoch 386 1002.7499 1.0000 1.0000
Epoch 387 1021.2053 1.0000 1.0000
Epoch 388 920.8209 1.0000 1.0000
Epoch 389 994.5038 1.0000 1.0000
Epoch 390 965.8355 0.0000 0.0000
Epoch 391 934.3628 1.0000 1.0000
Epoch 392 1005.4493 0.0000 0.0000
Epoch 393 962.4248 1.0000 1.0000
Epoch 394 961.3325 1.0000 1.0000
Epoch 395 1037.8539 1.0000 1.0000
Epoch 396 1014.1098 0.0000 0.0000
Epoch 397 975.5305 1.0000 1.0000
Epoch 398 966.0753 0.0000 0.0000
Epoch 399 998.4379 0.0000 0.0000
Epoch 400 973.7809 1.0000 1.0000
Epoch 401 955.9686 1.0000 1.0000
Epoch 402 976.8170 0.0000 0.0000
Epoch 403 978.1434 0.0000 0.0000
Epoch 404 984.0228 1.0000 1.0000
Epoch 405 1007.3213 1.0000 1.0000
Epoch 406 961.4543 1.0000 1.0000
Epoch 407 942.0182 1.0000 1.0000
Epoch 408 969.9031 0.0000 0.0000
Epoch 409 911.3341 0.0000 0.0000
Epoch 410 935.0119 1.0000 1.0000
Epoch 411 944.1017 1.0000 1.0000
Epoch 412 898.3112 1.0000 1.0000
Epoch 413 950.0991 1.0000 1.0000
Epoch 414 968.4874 0.0000 0.0000
Epoch 415 935.7149 1.0000 1.0000
Epoch 416 931.4650 1.0000 1.0000
Epoch 417 976.6503 0.0000 0.0000
Epoch 418 952.9829 1.0000 1.0000
Epoch 419 932.3900 1.0000 1.0000
Epoch 420 930.0460 0.0000 0.0000
Epoch 421 945.1997 0.0000 0.0000
Epoch 422 959.5505 1.0000 1.0000
Epoch 423 915.2354 1.0000 1.0000
Epoch 424 930.4116 1.0000 1.0000
Epoch 425 924.7267 0.0000 0.0000
Epoch 426 915.2999 0.0000 0.0000
Epoch 427 918.1006 0.0000 0.0000
Epoch 428 944.5786 1.0000 1.0000
Epoch 429 938.9711 1.0000 1.0000
Epoch 430 918.5010 1.0000 1.0000
Epoch 431 927.1053 1.0000 1.0000
Epoch 432 923.4642 0.0000 0.0000
Epoch 433 948.9830 0.0000 0.0000
Epoch 434 922.2928 1.0000 1.0000
Epoch 435 934.8774 1.0000 1.0000
Epoch 436 941.5764 1.0000 1.0000
Epoch 437 929.6562 1.0000 1.0000
Epoch 438 960.6580 1.0000 1.0000
Epoch 439 921.7979 0.0000 0.0000
Epoch 440 961.9005 0.0000 0.0000
Epoch 441 947.6381 0.0000 0.0000
Epoch 442 938.5950 0.0000 0.0000
Epoch 443 933.5139 0.0000 0.0000
Epoch 444 957.1371 1.0000 1.0000
Epoch 445 931.4866 1.0000 1.0000
Epoch 446 908.5186 1.0000 1.0000
Epoch 447 981.2992 1.0000 1.0000
Epoch 448 973.2706 0.0000 0.0000
Epoch 449 969.6071 1.0000 1.0000
Epoch 450 942.6034 1.0000 1.0000
Epoch 451 956.4598 1.0000 1.0000
Epoch 452 948.8250 0.0000 0.0000
Epoch 453 954.7442 0.0000 0.0000
Epoch 454 978.1697 1.0000 1.0000
Epoch 455 972.3276 0.0000 0.0000
Epoch 456 950.6494 0.0000 0.0000
Epoch 457 949.9949 1.0000 1.0000
Epoch 458 947.3121 1.0000 1.0000
Epoch 459 954.3387 0.0000 0.0000
Epoch 460 1039.9172 0.0000 0.0000
Epoch 461 953.6235 0.0000 0.0000
Epoch 462 953.8645 0.0000 0.0000
Epoch 463 997.8138 0.0000 0.0000
Epoch 464 920.7085 1.0000 1.0000
Epoch 465 958.1030 1.0000 1.0000
Epoch 466 944.4761 0.0000 0.0000
Epoch 467 935.8000 0.0000 0.0000
Epoch 468 926.7216 1.0000 1.0000
Epoch 469 912.8776 1.0000 1.0000
Epoch 470 958.1824 0.0000 0.0000
Epoch 471 889.5053 0.0000 0.0000
Epoch 472 938.1598 0.0000 0.0000
Epoch 473 924.2244 1.0000 1.0000
Epoch 474 906.6335 0.0000 0.0000
Epoch 475 987.2823 1.0000 1.0000
Epoch 476 906.9019 0.0000 0.0000
Epoch 477 936.1168 0.0000 0.0000
Epoch 478 919.2021 1.0000 1.0000
Epoch 479 954.3536 1.0000 1.0000
Epoch 480 942.7090 1.0000 1.0000
Epoch 481 956.0083 0.0000 0.0000
Epoch 482 954.7786 0.0000 0.0000
Epoch 483 943.1852 0.0000 0.0000
Epoch 484 954.6661 1.0000 1.0000
Epoch 485 955.1981 1.0000 1.0000
Epoch 486 956.0959 1.0000 1.0000
Epoch 487 934.7523 0.0000 0.0000
Epoch 488 938.6047 1.0000 1.0000
Epoch 489 945.3049 1.0000 1.0000
Epoch 490 929.0063 1.0000 1.0000
Epoch 491 984.5489 0.0000 0.0000
Epoch 492 949.2922 0.0000 0.0000
Epoch 493 953.5002 1.0000 1.0000
Epoch 494 932.7697 0.0000 0.0000
Epoch 495 946.9815 1.0000 1.0000
Epoch 496 912.1522 0.0000 0.0000
Epoch 497 935.6179 0.0000 0.0000
Epoch 498 934.8927 0.0000 0.0000
Epoch 499 956.3746 1.0000 1.0000
Epoch 500 976.3382 1.0000 1.0000
Epoch 501 922.0102 0.0000 0.0000
Epoch 502 907.7706 0.0000 0.0000
Epoch 503 891.9154 1.0000 1.0000
Epoch 504 902.0872 1.0000 1.0000
Epoch 505 891.6100 1.0000 1.0000
Epoch 506 921.2694 1.0000 1.0000
Epoch 507 954.2256 0.0000 0.0000
Epoch 508 918.5439 1.0000 1.0000
Epoch 509 905.6815 1.0000 1.0000
Epoch 510 901.6710 1.0000 1.0000
Epoch 511 912.2120 0.0000 0.0000
Epoch 512 903.1640 1.0000 1.0000
Epoch 513 939.9644 0.0000 0.0000
Epoch 514 942.6526 0.0000 0.0000
Epoch 515 927.8433 1.0000 1.0000
Epoch 516 899.5258 1.0000 1.0000
Epoch 517 946.0801 1.0000 1.0000
Epoch 518 917.8792 0.0000 0.0000
Epoch 519 929.2450 0.0000 0.0000
Epoch 520 982.5864 1.0000 1.0000
Epoch 521 949.6954 0.0000 0.0000
Epoch 522 921.7799 1.0000 1.0000
Epoch 523 961.5986 1.0000 1.0000
Epoch 524 930.3528 1.0000 1.0000
Epoch 525 928.5990 1.0000 1.0000
Epoch 526 1007.7708 0.0000 0.0000
Epoch 527 905.1403 0.0000 0.0000
Epoch 528 931.0546 0.0000 0.0000
Epoch 529 898.1314 1.0000 1.0000
Epoch 530 914.1624 1.0000 1.0000
Epoch 531 954.6151 1.0000 1.0000
Epoch 532 906.4641 1.0000 1.0000
Epoch 533 918.1589 0.0000 0.0000
Epoch 534 910.6126 0.0000 0.0000
Epoch 535 894.7025 0.0000 0.0000
Epoch 536 922.2559 1.0000 1.0000
Epoch 537 918.4210 1.0000 1.0000
Epoch 538 906.0085 1.0000 1.0000
Epoch 539 902.6161 0.0000 0.0000
Epoch 540 959.2260 0.0000 0.0000
